Room ID,Room Code
739b9689632d0636a5e9a3e8da8a46a4,James E Gleason Hall(GLE)-2460
73bdd86e7f8a9cb06e00377e8c774f4f,Wallace Library (WAL)-4620
7413eabec0e79adfa258ad81e1c3ac2f,Dubai H-214
7418cc8ab4e8d19a312a95c75330c5a7,Carlson Ctr Imaging (CAR)-2200
7436de7a9b7075ceb5365ba1d5b33a97,James E Booth (BOO)-1420
7449220dc1c29cc8ef1cf9b781d9af74,Golisano Hall (GOL)-1130
74cdff09e329d53d7064655755663472,Liberal Arts Hall (LBR)-A230
755c8b7cdab3466a8ae5a450acd8eb21,Institute Hall (INS)-1160
760ff590d44d80d9254a5c8c0e73b099,Ctr Biosci Ed & Tech(CBT)-2110
76d6c07a67179706700172c1188a2757,Liberal Arts Hall (LBR)-A260
76f06db6af6cfd67aa33c602fd9be878,Lyndon Johnson Hall (LBJ)-1445
770253941cfa116141e8288d8cb36cf7,Frank E. Gannett (GAN)-1294
7814673ea3737b78bbaa5240fbf36320,Sustainability Inst(SUS)-3150
7849f8e9018b7c3a5eb55ae9bc7c0a72,Dubai D-107
785b88a762f37ff48e6f7149909303a7,Wallace Library (WAL)-3530
7906e5b8026bedd11e0b5a621632e2bb,James E Booth (BOO)-2630B
791fa20feef451fe6ecc1b76dce7318d,Dubai B-211
7a18821b91b90ea3f4f38be81c07ce48,Kate Gleason Hall (KGH) - A055
7ab844cb24aa17224a26bdd91431dec3,Frank E. Gannett (GAN)-2215
7ac994524332d15225a63fd2dee29637,James E Booth (BOO)-3634
7ad91e08f0d5a1d21aa2b5326a4d2486,Frank E. Gannett (GAN)-A070
7b5f073a9d668c8fe08687b0fb90cc64,Outdoor Track Complex
7b997c183f5b0fea68a80f3a3e87c722,Slaughter Hall (SLA)-A615
7bcc82b4fa583ba7289873ecfa6585cd,Lyndon Johnson Hall (LBJ)-1570
7bd30ee5144a40485c4f5fa75959c1c0,SH Explore & Devel (SHD)-4350
7d656b0a5b63e134edb11ff927d42ef3,James E Booth (BOO)-A410
7e1418f57db451025791fc005a66d768,Dubai E-114
7e3b638839cac9bf85adaf70fc8831fe,Engineering Hall (ENG)-2700
7e4dcd27150e8cce02f537754e2514a8,Wallace Library (WAL)-A450
7e7f7b0f22206b45e424491944f5c101,Thomas Gosnell Hall (GOS)-A365
7f3da437925911206656acbd9197ee0c,Slaughter Hall (SLA)-1580
7f970f93dc93364379a092c36218f309,James E Booth (BOO)-1510
803a9a247f5e77110109332956d20317,Frank E. Gannett (GAN)-A150
80630107e81389c5ed61dadee95534e0,Wallace Library (WAL)-3520
80f0aba502b844d89d457e104c00be57,Dubai E-009
814fbd4fe76255f175bd16c7f001e4f2,Outside Tennis Court Complex
8181559025a931611e290ce4a1b6d240,Ctr Biosci Ed & Tech(CBT)-1160
81c88f5651eb3d73a1d3dd60ac6cc465,Thomas Gosnell Hall (GOS)-2143
8239de33c7a5373c8df8bd10728bf318,James E Booth (BOO)-4600
82e0c383ced09ab7afbdfe9fb55b69c4,James E Booth (BOO)-4505
82e22e1bffa50debfdb57d36e16cdc98,Hugh L Carey Hall (HLC)-2575
830b31b1696de2c213599ccd6126502d,Grace Watson Field West
833981770f5875ddf503388f6310e344,James E Gleason Hall(GLE)-2180
84a55a1fe91dcee1f20a56e9ba8c2c7d,Ctr Biosci Ed & Tech(CBT)-2170
84baead92cc1f61c1112ff65cad355bd,Thomas Gosnell Hall (GOS)-A261
